"ParamID";"Enable";"ReadRegister";"WriteRegister";"DisplayText";"Scale";"Offset";"TotalBytes";"NumUsedBits";"MinVal";"MaxVal"
"SPR_ALG_INP_PCNT";0;207;;"Смещение частоты в %";0,0078125;-251;2;16;-251;250,99
"SPR_ALG_INP_TMP";0;208;;"Резервный аналоговый вход температуры";0,03125;-273;2;16;-273;1735
"SPR_ALG_INP_PRES";0;209;;"Резервный аналоговый вход давления";0,125;0;2;16;0;8031,875
"MAINT_HRS_REM";0;210;;"Осталось часов до технического обслуживания по регламентному интервалу";1;-32127;2;16;-32127;32128
"MAINT_DAYS_REM";0;212;;"Осталось дней до технического обслуживания по регламентному интервалу";1;-32127;2;16;-32137;32128
"CRANK_ATTEMPTS";0;213;;"Количество попыток проворота маховика";1;0;4;32;0;4211081215
"GOOD_STARTS";0;215;;"Количество успешных пусков";1;0;4;32;0;4211081215
"ADEM_OIL_PRESS";0;217;;"Давление масла в двигателе с системы ADEM";0,125;0;2;16;0;8031,875
"ADEM_COOL_TEMP";0;219;;"Температура охлаждающей жидкости двигателя с системы ADEM";0,03125;-273;2;16;-273;1735
"C1_EXH_PRT_TEMP";0;221;;"Температура отработавших газов в отверстии цилиндра 1 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C2_EXH_PRT_TEMP";0;222;;"Температура отработавших газов в отверстии цилиндра 2 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C3_EXH_PRT_TEMP";0;223;;"Температура отработавших газов в отверстии цилиндра 3 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C4_EXH_PRT_TEMP";0;224;;"Температура отработавших газов в отверстии цилиндра 4 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C5_EXH_PRT_TEMP";0;225;;"Температура отработавших газов в отверстии цилиндра 5 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C6_EXH_PRT_TEMP";0;226;;"Температура отработавших газов в отверстии цилиндра 6 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C7_EXH_PRT_TEMP";0;227;;"Температура отработавших газов в отверстии цилиндра 7 с канала передачи данных";0,03125;-273;2;16;-273;1735
